,SA1_7DIGITCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
34535,3109301.0,39,1733,741,325,2062,0.8,1166,1.9
34536,3109302.0,41,2500,1036,495,4374,0.8,3374,3.3
34537,3109303.0,32,1821,734,340,1465,0.8,1292,2.3
34538,3109304.0,0,0,0,0,0,0.0,0,0.0
34539,3109305.0,49,2000,859,455,3035,0.7,2625,2.8
34540,3109306.0,37,1750,766,400,2053,0.8,1866,2.8
34541,3109307.0,39,2366,1027,458,2916,0.8,2558,2.7
34542,3109308.0,40,2033,821,410,2305,0.7,1850,2.6
34543,3109309.0,40,2750,914,375,2840,0.8,2613,3.0
34544,3109310.0,34,2167,762,420,1974,0.8,1607,2.6
34545,3109311.0,39,2167,578,200,2208,0.9,1694,2.7
34546,3109312.0,38,2500,994,450,2416,0.8,2305,3.1
34547,3109401.0,27,1250,569,450,1631,1.0,1433,2.2
34548,3109402.0,37,2000,879,493,2666,0.8,2328,3.0
34549,3109403.0,40,2350,946,545,3531,0.7,3250,3.1
34550,3109404.0,43,3500,1312,600,3932,0.7,3750,3.0
34551,3109405.0,0,0,0,0,0,0.0,0,0.0
34552,3109406.0,41,2649,825,470,2708,0.7,2405,2.9
34553,3109407.0,30,2167,697,450,2441,0.8,1781,2.6
34554,3109408.0,32,2500,718,398,2449,0.8,2078,2.8
34555,3109409.0,28,1807,705,425,1767,1.0,1426,2.2
34556,3109410.0,27,2293,623,460,2175,0.9,1850,2.6
34557,3109411.0,28,1733,612,390,1828,0.9,1375,2.1
34558,3109412.0,27,2000,671,415,1897,0.8,1598,2.4
34559,3109413.0,42,2359,771,495,2474,0.7,2299,2.7
34560,3109414.0,26,2266,575,490,2360,1.0,1485,2.8
34561,3109415.0,29,1950,489,390,1687,0.9,1189,2.3
34562,3109416.0,25,1798,669,425,1699,0.9,1437,2.2
34563,3109417.0,28,2059,643,420,1680,0.9,1364,2.1
34564,3109418.0,35,1975,752,430,1833,0.7,1735,2.6
34565,3109419.0,29,1834,757,438,2139,0.8,1875,3.1
34566,3109420.0,35,2100,862,480,1937,0.9,1924,3.0
34567,3109421.0,44,2687,812,400,3374,0.7,2321,2.6
34568,3109422.0,38,2089,585,418,1708,0.7,1437,2.2
34569,3109423.0,20,2600,412,500,4541,0.8,3624,3.0
34570,3109424.0,43,1800,952,700,3583,0.7,3143,3.1
34571,3109425.0,28,1733,575,450,1538,1.1,1362,2.3
34572,3109426.0,28,1808,595,380,1478,1.1,1346,2.4
34573,3109427.0,28,2071,597,400,1812,0.8,1412,2.5
34574,3109428.0,34,1500,586,405,1531,0.9,1523,2.5
34575,3109429.0,43,2665,1118,460,3924,0.8,3538,2.9
34576,3109430.0,37,2334,868,490,2812,0.8,2036,2.8
34577,3109431.0,44,2500,924,475,3250,0.7,2562,2.7
34578,3109501.0,31,2025,876,360,1958,0.9,1523,1.9
34579,3109502.0,44,2600,1037,450,3050,0.7,2250,2.7
34580,3109503.0,44,2600,970,500,3550,0.7,3050,3.0
34581,3109504.0,45,2587,955,475,3055,0.7,2673,2.8
34582,3109505.0,41,2500,1081,450,3405,0.8,3094,3.0
34583,3109506.0,45,2167,1057,370,3139,0.7,2463,2.4
34584,3109507.0,36,2442,1074,440,3270,0.7,2824,2.7
34585,3109508.0,34,2350,820,400,2812,1.0,2250,2.8
34586,3109509.0,36,1692,720,300,1625,0.8,1062,1.6
34587,3109510.0,33,2496,839,360,1916,0.8,1730,2.3
34588,3109511.0,38,2500,949,420,3333,0.8,2650,2.9
34589,3109512.0,33,2167,1003,453,2323,0.9,1794,2.3
34590,3109513.0,35,2795,1052,510,2527,0.8,2437,2.9
34591,3109514.0,36,2227,850,430,2550,0.8,2410,3.0
34592,3109601.0,24,1042,310,490,1542,0.9,878,2.1
34593,3109602.0,23,2800,304,450,1625,0.9,1218,3.1
34594,3109603.0,24,1800,363,460,1569,0.9,1170,2.4
34595,3109604.0,23,1419,249,418,1218,1.1,769,2.9
34596,3109605.0,24,1530,348,440,1037,1.2,790,2.5
34597,3109606.0,23,1733,338,415,1016,1.2,947,2.6
34598,3109607.0,24,1733,389,410,1260,1.2,1176,2.7
34599,3109608.0,25,2000,470,430,1829,1.0,1333,2.5
34600,3109609.0,33,3484,762,595,3454,0.8,2849,3.2
34601,3109610.0,27,2550,507,510,3399,0.8,2166,3.1
34602,3109611.0,25,2817,484,430,2916,0.8,1649,2.8
34603,3109612.0,30,2599,598,450,2687,0.9,1875,2.7
34604,3109613.0,34,2334,845,610,4022,0.8,3312,2.9
34605,3109614.0,32,3000,783,525,3531,0.8,2678,2.9
34606,3109615.0,19,0,58,0,0,0.0,1499,1.0
34607,3109616.0,27,2179,541,420,1792,0.9,1339,2.2
34608,3109617.0,25,1925,374,410,1218,0.9,987,2.4
34609,3109618.0,32,2300,611,440,1890,0.8,1427,1.9
34610,3109619.0,26,1842,467,385,1775,1.0,1237,2.2
34611,3109620.0,24,1750,446,415,1859,1.0,1465,2.5
34612,3109621.0,29,2191,572,485,2214,0.9,1692,2.6
34613,3109622.0,26,1950,493,400,1575,0.9,1304,2.1
34614,3109623.0,32,2400,731,540,3324,0.8,2700,2.8
34615,3109701.0,29,2383,704,435,2954,0.8,2250,2.8
34616,3109702.0,35,2500,634,463,3200,0.8,1875,2.7
34617,3109703.0,32,1730,712,458,2083,0.9,1483,2.2
34618,3109704.0,35,1650,793,395,2040,0.8,1643,2.0
34619,3109705.0,27,2000,575,350,1465,1.1,1343,2.3
34620,3109706.0,30,1668,1028,420,2119,1.0,1755,1.9
34621,3109707.0,29,1733,624,390,2050,0.9,1687,2.3
34622,3109708.0,28,1575,867,385,1968,0.9,1722,2.0
34623,3109709.0,30,1733,763,375,1762,0.9,1551,2.0
34624,3109710.0,31,1975,853,370,2272,0.9,1687,2.2
34625,3109711.0,25,1457,496,375,1375,1.1,608,1.6
34626,3109712.0,31,1767,789,480,2036,0.8,1678,2.2
34627,3109713.0,28,1875,653,358,1949,0.9,1513,2.1
34628,3109714.0,28,2000,804,380,2250,0.8,1883,2.5
34629,3109715.0,29,1700,920,363,2100,0.8,1525,2.1
34630,3109716.0,28,1918,710,390,1781,1.0,1375,2.0
34631,3109717.0,31,1582,821,380,2062,1.0,1509,2.0
34632,3109718.0,35,2080,751,500,2750,0.8,2041,2.8
34633,3109719.0,32,2700,971,525,3204,0.8,2777,3.0
34634,3109720.0,33,2700,824,458,2555,0.8,2080,2.5
34635,3109721.0,48,1904,869,400,2091,0.8,1327,1.5
34636,3109801.0,40,2157,717,370,1843,0.8,1552,2.3
34637,3109802.0,37,2159,856,465,2681,0.8,2321,2.9
34638,3109803.0,34,2128,931,435,2239,0.8,1817,2.5
34639,3109804.0,22,0,1131,328,3625,0.8,3666,3.5
34640,3109805.0,31,2200,1259,310,2982,0.8,2578,2.9
34641,3109806.0,31,2000,821,365,2053,0.8,1530,2.1
34642,3109807.0,33,1786,711,300,1515,0.9,1075,1.8
34643,3109808.0,34,2335,1030,430,2618,0.9,2285,3.0
34644,3109809.0,37,2134,825,360,2600,0.8,1764,2.5
34645,3109810.0,33,2500,885,410,2583,0.8,2024,2.7
34646,3109811.0,39,2560,796,340,2461,0.8,1921,2.4
34647,3109812.0,30,1717,907,360,1884,0.8,1435,1.8
34648,3109813.0,30,1733,866,398,2250,0.8,1812,2.7
34649,3109815.0,33,1783,865,325,2079,0.9,1522,2.1
34650,3109816.0,35,1684,779,240,1812,0.9,1113,1.9
34651,3109817.0,29,1742,770,350,1708,0.9,1375,1.9
34652,3109818.0,30,2054,849,340,1945,0.9,1433,2.2
34653,3109901.0,44,1850,724,330,1024,0.8,899,2.3
34654,3110001.0,44,2000,808,435,2156,0.6,1625,2.5
34655,3110002.0,41,2000,831,461,2098,0.8,1985,2.8
34656,3110003.0,34,2018,568,265,1470,0.8,1281,2.5
34657,3110004.0,33,1780,535,182,1375,0.8,941,2.2
34658,3110005.0,33,2000,638,304,1474,0.8,1156,2.5
34659,3110006.0,35,1950,698,220,1562,0.9,1384,2.6
34660,3110007.0,0,0,0,0,0,0.0,0,0.0
34661,3110008.0,83,0,563,150,1112,0.6,713,1.2
34662,3110009.0,33,2028,686,355,1607,0.8,1421,2.5
34663,3110010.0,41,1733,687,393,1605,0.7,1538,2.6
34664,3110011.0,32,1821,595,350,1458,0.8,1399,2.9
34665,3110012.0,38,1863,676,380,1589,0.8,1385,2.5
34666,3110013.0,35,2000,515,335,1312,0.8,1227,2.7
34667,3110014.0,46,1559,620,400,1666,0.7,1265,2.3
34668,3110015.0,40,2000,646,455,1812,0.7,1611,2.8
34669,3110016.0,45,1517,806,435,2050,0.7,1578,2.2
34670,3110017.0,76,1820,445,390,1875,0.7,788,1.9
34671,3110018.0,36,1977,728,330,1781,0.8,1300,2.3
34672,3110019.0,37,2000,770,375,1525,0.8,1481,2.6
34673,3110101.0,35,2000,805,420,2227,0.9,2042,2.8
34674,3110102.0,35,2167,765,355,1946,0.9,1433,2.5
34675,3110103.0,36,2275,828,420,2558,0.7,2014,2.6
34676,3110104.0,37,2167,961,390,2432,0.8,2087,2.7
34677,3110105.0,38,2085,904,420,2577,0.8,2178,2.6
34678,3110106.0,37,2000,864,398,2250,0.8,1850,2.7
34679,3110107.0,34,1963,888,425,2263,0.8,1766,2.6
34680,3110109.0,41,2342,1048,440,2625,0.7,2449,2.8
34681,3110110.0,38,2383,1012,380,2442,0.8,2200,2.6
34682,3110111.0,31,1733,904,380,1886,0.7,1682,2.4
34683,3110112.0,36,2167,886,413,2296,0.8,1766,2.5
34684,3110113.0,32,2020,942,425,2175,0.9,2015,2.7
34685,3110114.0,36,2383,1200,430,3091,0.8,2849,3.0
34686,3110115.0,30,1750,1113,300,2347,0.8,2144,2.9
34687,3110116.0,35,2167,1067,420,2616,0.8,2518,3.4
34688,3110117.0,32,2123,772,360,2092,0.8,1954,3.0
34689,3110118.0,38,1863,534,250,1171,1.0,710,1.5
34690,3110119.0,35,2123,658,350,2100,0.9,1558,2.4
34691,3110120.0,46,1921,641,214,1963,0.9,1301,2.3
34692,3110121.0,37,1928,1069,420,2291,0.9,1937,1.8
34693,3110122.0,42,0,0,0,0,0.0,0,0.0
34694,3110201.0,0,0,0,0,0,0.0,0,0.0
34695,3110301.0,37,1800,843,430,2050,0.8,1699,2.3
34696,3110302.0,37,2500,993,530,3324,0.7,3388,3.3
34697,3110303.0,38,2414,1014,560,3374,0.8,3333,3.4
34698,3110304.0,42,2167,788,445,2285,0.8,2016,2.8
34699,3110305.0,42,2300,907,465,2449,0.8,2196,2.8
34700,3110306.0,45,2300,917,540,2589,0.7,2369,2.8
34701,3110307.0,40,2336,1030,515,2640,0.8,2175,2.9
34702,3110308.0,40,2167,816,450,2294,0.8,2088,2.9
34703,3110309.0,38,1809,760,418,1982,0.8,1816,2.8
34704,3110310.0,41,2529,1054,480,2444,0.7,2154,2.6
34705,3110311.0,39,2167,783,453,2033,0.8,1850,2.8
34706,3110312.0,45,2134,707,485,2230,0.7,2083,2.7
34707,3110313.0,42,2100,807,440,2132,0.8,1899,2.6
34708,3110314.0,41,1744,976,450,2327,0.8,2088,2.8
34709,3110315.0,36,1830,710,408,2230,0.7,2096,2.9
34710,3110316.0,37,2600,1036,513,3033,0.8,2694,3.2
34711,3110317.0,37,2570,1116,520,2783,0.8,2600,3.2
34712,3110318.0,42,2303,924,485,2571,0.8,2383,2.8
34713,3110319.0,39,2200,742,423,2528,0.8,2229,2.9
34714,3110320.0,49,2218,646,438,1713,0.7,1399,2.3
34715,3110321.0,40,2500,812,625,3285,0.8,2928,3.4
34716,3110322.0,42,1950,831,455,2474,0.7,2365,3.1
34717,3110323.0,41,2100,780,453,2183,0.8,1897,2.8
34718,3110324.0,43,2292,806,460,2200,0.8,1974,2.7
34719,3110325.0,47,2167,900,460,2650,0.8,2437,3.2
34720,3110326.0,40,2029,713,398,2010,0.8,1674,2.8
34721,3110327.0,38,2500,976,510,3388,0.8,3166,3.2
34722,3110328.0,42,2167,1060,540,3146,0.8,2982,3.2
34723,3110329.0,37,2300,787,465,2134,0.8,2154,3.0
34724,3110330.0,41,1733,725,460,2111,0.7,1949,2.4
34725,3110331.0,47,2000,707,410,1928,0.7,1510,2.2
34726,3110332.0,43,2043,830,465,2279,0.7,1972,2.7
34727,3110333.0,43,1717,722,470,2048,0.7,1697,2.6
